surf_id,surf_scores,surf_actives,icm_id,icm_scores,icm_actives,vina_id,vina_scores,vina_actives,minr_id,minr_scores,minr_actives,maxz_id,maxz_scores,maxz_actives
decoy1015,8.03,0,decoy1015,28.313506,0,decoy1015,11.7,0,decoy1015,931,0,decoy1015,0.39162237245715903,0
decoy1016,8.51,0,decoy1016,18.983257,0,decoy1016,11.4,0,decoy1016,1599,0,decoy1016,0.04487191084699714,0
decoy1017,10.11,0,decoy1017,31.681232,0,decoy1017,10.1,0,decoy1017,504,0,decoy1017,0.6711065959762159,0
decoy1018,6.91,0,decoy1018,21.162529,0,decoy1018,8.5,0,decoy1018,2086,0,decoy1018,-0.2018300801021153,0
decoy1019,7.23,0,decoy1019,11.849347,0,decoy1019,10,0,decoy1019,2474,0,decoy1019,-0.4170439593047578,0
decoy102,5.19,0,decoy102,13.76243,0,decoy102,10.6,0,decoy102,2867,0,decoy102,-0.8159569190964838,0
decoy1020,9.08,0,decoy1020,20.304292,0,decoy1020,11.1,0,decoy1020,1190,0,decoy1020,0.25056882177395073,0
decoy1021,10.4,0,decoy1021,6.059568,0,decoy1021,10.7,0,decoy1021,453,0,decoy1021,0.7269195628679483,0
decoy1022,9.51,0,decoy1022,13.493624,0,decoy1022,12.2,0,decoy1022,889,0,decoy1022,0.40574368440305586,0
decoy1023,8.52,0,decoy1023,20.292872,0,decoy1023,10.7,0,decoy1023,1592,0,decoy1023,0.04848062858255765,0
decoy1024,10.51,0,decoy1024,17.420448,0,decoy1024,10.6,0,decoy1024,418,0,decoy1024,0.7666154579591146,0
decoy1025,9.33,0,decoy1025,34.295673,0,decoy1025,9.9,0,decoy1025,292,0,decoy1025,0.8880764482805263,0
decoy1026,6.77,0,decoy1026,31.839293,0,decoy1026,10.6,0,decoy1026,486,0,decoy1026,0.6842239207982608,0
decoy1027,8.26,0,decoy1027,33.587404,0,decoy1027,11.8,0,decoy1027,337,0,decoy1027,0.8292979100301998,0
decoy1028,5.85,0,decoy1028,27.75036,0,decoy1028,10.9,0,decoy1028,1007,0,decoy1028,0.3448874473065195,0
decoy1029,6.44,0,decoy1029,31.774767,0,decoy1029,10.8,0,decoy1029,492,0,decoy1029,0.6788689723829826,0
decoy103,7.38,0,decoy103,20.432661,0,decoy103,10.1,0,decoy103,2192,0,decoy103,-0.2624010978308162,0
decoy1030,6.82,0,decoy1030,25.329971,0,decoy1030,10.1,0,decoy1030,1429,0,decoy1030,0.14402177703552163,0
decoy1031,9.3,0,decoy1031,15.582558,0,decoy1031,10.3,0,decoy1031,1020,0,decoy1031,0.32996061195628384,0
decoy1032,6.67,0,decoy1032,25.898454,0,decoy1032,10.3,0,decoy1032,1328,0,decoy1032,0.1911996144958091,0
decoy1033,12.6,0,decoy1033,35.180095,0,decoy1033,10.8,0,decoy1033,106,0,decoy1033,1.5208374646912772,0
decoy1034,12.36,0,decoy1034,20.104688,0,decoy1034,9.9,0,decoy1034,125,0,decoy1034,1.4342282390378231,0
decoy1035,2.48,0,decoy1035,10.257366,0,decoy1035,10,0,decoy1035,3025,0,decoy1035,-1.1068386863259436,0
decoy1036,9.72,0,decoy1036,16.632838,0,decoy1036,9.2,0,decoy1036,770,0,decoy1036,0.4815267568498285,0
decoy1037,5.08,0,decoy1037,-2.382813,0,decoy1037,10,0,decoy1037,3043,0,decoy1037,-1.1929182724502843,0
decoy1038,7.21,0,decoy1038,30.392098,0,decoy1038,10.2,0,decoy1038,645,0,decoy1038,0.5641226504289785,0
decoy1039,5.92,0,decoy1039,25.424006,0,decoy1039,9.2,0,decoy1039,1411,0,decoy1039,0.1518256479438479,0
decoy104,7.54,0,decoy104,28.954821,0,decoy104,10.2,0,decoy104,836,0,decoy104,0.4448444649926336,0
decoy1040,12.87,0,decoy1040,21.816449,0,decoy1040,12,0,decoy1040,81,0,decoy1040,1.6182728435514129,0
decoy1041,9.83,0,decoy1041,26.312114,0,decoy1041,12.1,0,decoy1041,706,0,decoy1041,0.5212226519409947,0
decoy1042,9.21,0,decoy1042,19.659375,0,decoy1042,12.3,0,decoy1042,1091,0,decoy1042,0.29748215233623865,0
decoy1043,9.2,0,decoy1043,22.922293,0,decoy1043,11.5,0,decoy1043,1098,0,decoy1043,0.2938734346006775,0
decoy1044,7.16,0,decoy1044,21.117173,0,decoy1044,9.5,0,decoy1044,2095,0,decoy1044,-0.2055941293275956,0
decoy1045,7.45,0,decoy1045,16.55279,0,decoy1045,11.5,0,decoy1045,2342,0,decoy1045,-0.33765216912242496,0
decoy1046,5.61,0,decoy1046,13.542851,0,decoy1046,10.6,0,decoy1046,2878,0,decoy1046,-0.8341795614124237,0
decoy1047,8.46,0,decoy1047,5.995414,0,decoy1047,10.5,0,decoy1047,1632,0,decoy1047,0.02682832216919459,0
decoy1048,6.92,0,decoy1048,24.145374,0,decoy1048,11,0,decoy1048,1626,0,decoy1048,0.04571325290736982,0
decoy1049,7.86,0,decoy1049,16.186123,0,decoy1049,9.6,0,decoy1049,2063,0,decoy1049,-0.18969474196444083,0
decoy105,8.66,0,decoy105,37.399283,0,decoy105,10.5,0,decoy105,147,0,decoy105,1.1456419482517173,0
decoy1050,8.6,0,decoy1050,22.886882,0,decoy1050,11.5,0,decoy1050,1527,0,decoy1050,0.07735037046704238,0
decoy1051,7.07,0,decoy1051,14.506122,0,decoy1051,10.1,0,decoy1051,2580,0,decoy1051,-0.4747834430737272,0
decoy1052,2.73,0,decoy1052,22.159016,0,decoy1052,10.1,0,decoy1052,1954,0,decoy1052,-0.11913261735074097,0
decoy1053,9.78,0,decoy1053,16.981837,0,decoy1053,9.1,0,decoy1053,737,0,decoy1053,0.5031790632631916,0
decoy1054,7.18,0,decoy1054,20.361723,0,decoy1054,10.3,0,decoy1054,2201,0,decoy1054,-0.26828817173409525,0
decoy1055,5.54,0,decoy1055,22.966249,0,decoy1055,11.3,0,decoy1055,1822,0,decoy1055,-0.052141155395712915,0
decoy1056,11.16,0,decoy1056,38.221891,0,decoy1056,11.5,0,decoy1056,129,0,decoy1056,1.2139093661297053,0
decoy1057,11.8,0,decoy1057,27.949843,0,decoy1057,11.5,0,decoy1057,186,0,decoy1057,1.2321400458464307,0
decoy1058,9.98,0,decoy1058,18.939381,0,decoy1058,10.7,0,decoy1058,625,0,decoy1058,0.5753534179744036,0
decoy1059,4.8,0,decoy1059,12.185697,0,decoy1059,12.4,0,decoy1059,2950,0,decoy1059,-0.9468084189518382,0
decoy106,8.89,0,decoy106,18.706792,0,decoy106,9.7,0,decoy106,1317,0,decoy106,0.18200318479829974,0
decoy1060,6.83,0,decoy1060,11.042929,0,decoy1060,9.8,0,decoy1060,2686,0,decoy1060,-0.5613926687271814,0
decoy1061,-8.44,0,decoy1061,14.325312,0,decoy1061,10.4,0,decoy1061,2814,0,decoy1061,-0.7692439030426678,0
decoy1062,5.4,0,decoy1062,12.935144,0,decoy1062,10,0,decoy1062,2904,0,decoy1062,-0.8846125595310639,0
decoy1063,4.67,0,decoy1063,17.277638,0,decoy1063,11.2,0,decoy1063,2583,0,decoy1063,-0.5242333114193817,0
decoy1064,6.02,0,decoy1064,12.678849,0,decoy1064,10,0,decoy1064,2916,0,decoy1064,-0.8536988053075891,0
decoy1065,9.43,0,decoy1065,25.064489,0,decoy1065,10.4,0,decoy1065,939,0,decoy1065,0.37687394251857115,0
decoy1066,9.91,0,decoy1066,27.730826,0,decoy1066,11.1,0,decoy1066,662,0,decoy1066,0.5500923938254795,0
decoy1067,9.12,0,decoy1067,32.415341,0,decoy1067,10,0,decoy1067,424,0,decoy1067,0.7320295700671456,0
decoy1068,9.53,0,decoy1068,23.213909,0,decoy1068,11.6,0,decoy1068,880,0,decoy1068,0.4129611198741769,0
decoy1069,7.36,0,decoy1069,4.596161,0,decoy1069,10.2,0,decoy1069,2398,0,decoy1069,-0.3701306287424702,0
decoy107,8.16,0,decoy107,30.982534,0,decoy107,11,0,decoy107,581,0,decoy107,0.6131223454747446,0
decoy1070,7.4,0,decoy1070,23.475639,0,decoy1070,9.9,0,decoy1070,1745,0,decoy1070,-0.009867387096756206,0
decoy1071,6.34,0,decoy1071,20.289472,0,decoy1071,10,0,decoy1071,2211,0,decoy1071,-0.27428421019847027,0
decoy1072,9.02,0,decoy1072,26.335937,0,decoy1072,10.1,0,decoy1072,1233,0,decoy1072,0.22891651536058702,0
decoy1073,8.38,0,decoy1073,18.173434,0,decoy1073,10.7,0,decoy1073,1690,0,decoy1073,-0.002041419715290134,0
decoy1074,8.4,0,decoy1074,16.326436,0,decoy1074,11.1,0,decoy1074,1673,0,decoy1074,0.0051760157558308865,0
decoy1075,8.94,0,decoy1075,31.738908,0,decoy1075,11.1,0,decoy1075,496,0,decoy1075,0.6758930697201263,0
decoy1076,9.45,0,decoy1076,21.443109,0,decoy1076,9.1,0,decoy1076,925,0,decoy1076,0.3840913779896922,0
decoy1077,6.99,0,decoy1077,32.415705,0,decoy1077,9.7,0,decoy1077,423,0,decoy1077,0.7320597780642815,0
decoy1078,6.8,0,decoy1078,24.779242,0,decoy1078,10.6,0,decoy1078,1521,0,decoy1078,0.09831732633661479,0
decoy1079,8.21,0,decoy1079,22.610261,0,decoy1079,10.1,0,decoy1079,1812,0,decoy1079,-0.06338962121982009,0
decoy108,8.9,0,decoy108,30.417464,0,decoy108,10.6,0,decoy108,643,0,decoy108,0.5662277494821033,0
decoy1080,8.78,0,decoy1080,24.772445,0,decoy1080,10.1,0,decoy1080,1407,0,decoy1080,0.14230728970713286,0
decoy1081,9.03,0,decoy1081,26.630333,0,decoy1081,11.2,0,decoy1081,1213,0,decoy1081,0.25193752310978296,0
decoy1082,7.18,0,decoy1082,25.5623,0,decoy1082,9.9,0,decoy1082,1383,0,decoy1082,0.163302529141233,0
decoy1083,8.23,0,decoy1083,24.462375,0,decoy1083,11.1,0,decoy1083,1578,0,decoy1083,0.07202084988520141,0
decoy1084,3.35,0,decoy1084,18.451701,0,decoy1084,10.9,0,decoy1084,2439,0,decoy1084,-0.42679899345008887,0
decoy1085,6.84,0,decoy1085,22.889547,0,decoy1085,9.1,0,decoy1085,1836,0,decoy1085,-0.05850657791297203,0
decoy1086,9.63,0,decoy1086,23.86595,0,decoy1086,9.7,0,decoy1086,809,0,decoy1086,0.4490482972297833,0
decoy1087,9.19,0,decoy1087,24.549031,0,decoy1087,10.2,0,decoy1087,1106,0,decoy1087,0.29026471686511696,0
decoy1088,7.48,0,decoy1088,34.946133,0,decoy1088,10.7,0,decoy1088,259,0,decoy1088,0.9420574752495275,0
decoy1089,9.26,0,decoy1089,30.05149,0,decoy1089,10.9,0,decoy1089,700,0,decoy1089,0.5358559320545089,0
decoy109,6.28,0,decoy109,21.58843,0,decoy109,9.9,0,decoy109,2026,0,decoy109,-0.16648498068458856,0
decoy1090,9.37,0,decoy1090,32.327071,0,decoy1090,10.4,0,decoy1090,430,0,decoy1090,0.7247041307618021,0
decoy1091,7.39,0,decoy1091,32.199537,0,decoy1091,10.6,0,decoy1091,439,0,decoy1091,0.7141202112379813,0
decoy1092,8.8,0,decoy1092,28.007029,0,decoy1092,11.1,0,decoy1092,977,0,decoy1092,0.3661881517481553,0
decoy1093,7.31,0,decoy1093,35.002972,0,decoy1093,10.4,0,decoy1093,253,0,decoy1093,0.946774487197827,0
decoy1094,8.6,0,decoy1094,41.648022,0,decoy1094,10.6,0,decoy1094,59,0,decoy1094,1.4982405623759465,0
decoy1095,10.18,0,decoy1095,42.965532,0,decoy1095,11.3,0,decoy1095,45,0,decoy1095,1.6075794038756988,0
decoy1096,8.83,0,decoy1096,34.530082,0,decoy1096,10.2,0,decoy1096,281,0,decoy1096,0.907529817512726,0
decoy1097,4.69,0,decoy1097,7.699237,0,decoy1097,9.4,0,decoy1097,3073,0,decoy1097,-1.3191352618865981,0
decoy1098,9.18,0,decoy1098,27.271482,0,decoy1098,11,0,decoy1098,1101,0,decoy1098,0.3051458394707397,0
decoy1099,6.76,0,decoy1099,28.528683,0,decoy1099,10.8,0,decoy1099,896,0,decoy1099,0.4094796971813677,0
decoy11,8.84,0,decoy11,27.684064,0,decoy11,9.9,0,decoy11,1031,0,decoy11,0.3393856083557201,0
decoy110,8.02,0,decoy110,20.421013,0,decoy110,10.8,0,decoy110,1952,0,decoy110,-0.13195525819547171,0
decoy1100,6.52,0,decoy1100,26.858055,0,decoy1100,10.8,0,decoy1100,1174,0,decoy1100,0.27083594487812357,0
decoy1101,9.09,0,decoy1101,28.90477,0,decoy1101,11.4,0,decoy1101,845,0,decoy1101,0.44069078239750786,0
decoy1102,10.18,0,decoy1102,38.055753,0,decoy1102,11,0,decoy1102,133,0,decoy1102,1.2001217391294658,0
decoy1103,8.07,0,decoy1103,25.491592,0,decoy1103,11.3,0,decoy1103,1395,0,decoy1103,0.15743454270867127,0
decoy1104,7.3,0,decoy1104,33.980344,0,decoy1104,12.3,0,decoy1104,310,0,decoy1104,0.8619076089159106,0
decoy1105,7.51,0,decoy1105,37.012522,0,decoy1105,11.4,0,decoy1105,160,0,decoy1105,1.1135450384162813,0
decoy1106,7.11,0,decoy1106,23.113202,0,decoy1106,10.2,0,decoy1106,1804,0,decoy1106,-0.03994567242031767,0
decoy1107,8.82,0,decoy1107,33.0863,0,decoy1107,11,0,decoy1107,389,0,decoy1107,0.78771178861109,0
decoy1108,6.54,0,decoy1108,19.874162,0,decoy1108,9.8,0,decoy1108,2267,0,decoy1108,-0.3087503730839603,0
decoy1109,8.41,0,decoy1109,16.612945,0,decoy1109,9.2,0,decoy1109,1666,0,decoy1109,0.008784733491391397,0
decoy111,3.19,0,decoy111,-0.910679,0,decoy111,10.2,0,decoy111,3135,0,decoy111,-1.8749659244712353,0
decoy1110,9.25,0,decoy1110,28.409919,0,decoy1110,10.7,0,decoy1110,914,0,decoy1110,0.39962359121490304,0
decoy1111,7.09,0,decoy1111,20.141697,0,decoy1111,9.1,0,decoy1111,2241,0,decoy1111,-0.28654791013442954,0
decoy1112,6.39,0,decoy1112,29.529909,0,decoy1112,9.4,0,decoy1112,759,0,decoy1112,0.4925704448185243,0
decoy1113,5.36,0,decoy1113,20.974761,0,decoy1113,8.8,0,decoy1113,2114,0,decoy1113,-0.217412759239826,0
decoy1114,7.69,0,decoy1114,32.837015,0,decoy1114,10.1,0,decoy1114,398,0,decoy1114,0.7670238749684872,0
decoy1115,6.86,0,decoy1115,27.670809,0,decoy1115,10.3,0,decoy1115,1032,0,decoy1115,0.3382855891193733,0
decoy1116,6.6,0,decoy1116,26.035862,0,decoy1116,10.1,0,decoy1116,1306,0,decoy1116,0.2026029674364304,0
decoy1117,7.14,0,decoy1117,23.309679,0,decoy1117,10,0,decoy1117,1773,0,decoy1117,-0.023640242054440767,0
decoy1118,8.61,0,decoy1118,23.866774,0,decoy1118,9.8,0,decoy1118,1514,0,decoy1118,0.08095908820260289,0
decoy1119,7.29,0,decoy1119,24.947862,0,decoy1119,10.2,0,decoy1119,1494,0,decoy1119,0.11231093204259666,0
decoy112,9.12,0,decoy112,34.59801,0,decoy112,10,0,decoy112,274,0,decoy112,0.9131670945166162,0
decoy1120,9.92,0,decoy1120,18.55745,0,decoy1120,9.1,0,decoy1120,654,0,decoy1120,0.55370111156104,0
decoy1121,7.33,0,decoy1121,18.847006,0,decoy1121,9.2,0,decoy1121,2395,0,decoy1121,-0.38095678194915206,0
decoy1122,6.79,0,decoy1122,28.891007,0,decoy1122,9.1,0,decoy1122,846,0,decoy1122,0.43954860474757645,0
decoy1123,9.14,0,decoy1123,31.560633,0,decoy1123,9.7,0,decoy1123,518,0,decoy1123,0.6610982051890274,0
decoy1124,6.89,0,decoy1124,20.006321,0,decoy1124,8.9,0,decoy1124,2253,0,decoy1124,-0.2977826294207124,0
decoy1125,4.82,0,decoy1125,34.578115,0,decoy1125,9.7,0,decoy1125,275,0,decoy1125,0.9115160282995566,0
decoy1126,9.25,0,decoy1126,17.374952,0,decoy1126,9.7,0,decoy1126,1055,0,decoy1126,0.3119170232784807,0
decoy1127,7.22,0,decoy1127,29.941793,0,decoy1127,9.3,0,decoy1127,713,0,decoy1127,0.5267522873793274,0
decoy1128,7.21,0,decoy1128,31.178792,0,decoy1128,9,0,decoy1128,561,0,decoy1128,0.6294096012489385,0
decoy1129,9.92,0,decoy1129,25.603147,0,decoy1129,9,0,decoy1129,655,0,decoy1129,0.55370111156104,0
decoy113,8.83,0,decoy113,22.728068,0,decoy113,9.8,0,decoy113,1367,0,decoy113,0.16035087838493603,0
decoy1130,8.9,0,decoy1130,20.930126,0,decoy1130,9.1,0,decoy1130,1307,0,decoy1130,0.18561190253386026,0
decoy1131,10.32,0,decoy1131,17.178633,0,decoy1131,8.7,0,decoy1131,481,0,decoy1131,0.6980498209834636,0
decoy1132,6.36,0,decoy1132,21.458416,0,decoy1132,11.3,0,decoy1132,2046,0,decoy1132,-0.17727471293614538,0
decoy1133,6.67,0,decoy1133,19.604344,0,decoy1133,11.9,0,decoy1133,2295,0,decoy1133,-0.3311422999276121,0
decoy1134,7.27,0,decoy1134,21.033824,0,decoy1134,11,0,decoy1134,2108,0,decoy1134,-0.212511179748589,0
decoy1135,4.69,0,decoy1135,16.396027,0,decoy1135,10,0,decoy1135,2660,0,decoy1135,-0.5973973294484194,0
decoy1136,8.79,0,decoy1136,17.588523,0,decoy1136,9.8,0,decoy1136,1401,0,decoy1136,0.14591600744269334,0
decoy1137,7.36,0,decoy1137,31.677449,0,decoy1137,10,0,decoy1137,505,0,decoy1137,0.6707926485774153,0
decoy1138,8.17,0,decoy1138,27.688647,0,decoy1138,11.5,0,decoy1138,1029,0,decoy1138,0.339765946957016,0
decoy1139,8.43,0,decoy1139,32.496918,0,decoy1139,11.1,0,decoy1139,418,0,decoy1139,0.7387995639746117,0
decoy114,6.76,0,decoy114,10.242826,0,decoy114,8.5,0,decoy114,2713,0,decoy114,-0.5866536928761056,0
decoy1140,7.44,0,decoy1140,22.996262,0,decoy1140,10.4,0,decoy1140,1817,0,decoy1140,-0.049650406445092374,0
decoy1141,8.13,0,decoy1141,31.444172,0,decoy1141,10.4,0,decoy1141,527,0,decoy1141,0.6514332228967468,0
decoy1142,8.57,0,decoy1142,32.214034,0,decoy1142,11.1,0,decoy1142,438,0,decoy1142,0.7153233028162022,0
decoy1143,9.13,0,decoy1143,18.291123,0,decoy1143,10.4,0,decoy1143,1152,0,decoy1143,0.26861241045175394,0
decoy1144,6.97,0,decoy1144,29.506664,0,decoy1144,9,0,decoy1144,763,0,decoy1144,0.49064136544101544,0
decoy1145,9.3,0,decoy1145,35.086411,0,decoy1145,10.2,0,decoy1145,245,0,decoy1145,0.9536990066291009,0
decoy1146,7.09,0,decoy1146,30.30882,0,decoy1146,10.2,0,decoy1146,657,0,decoy1146,0.5572114922272067,0
decoy1147,8.34,0,decoy1147,37.383568,0,decoy1147,10.1,0,decoy1147,148,0,decoy1147,1.144337776067697,0
decoy1148,8.41,0,decoy1148,31.838106,0,decoy1148,9.9,0,decoy1148,487,0,decoy1148,0.6841254128515579,0
decoy1149,7.85,0,decoy1149,30.175701,0,decoy1149,11.1,0,decoy1149,675,0,decoy1149,0.5461640791209642,0
decoy115,9.4,0,decoy115,22.859976,0,decoy115,10.6,0,decoy115,957,0,decoy115,0.36604778931188964,0
decoy1150,8.62,0,decoy1150,27.522856,0,decoy1150,10.6,0,decoy1150,1060,0,decoy1150,0.3260071171408589,0
decoy1151,9.95,0,decoy1151,23.808453,0,decoy1151,9.5,0,decoy1151,636,0,decoy1151,0.5645272647677215,0
decoy1152,0.53,0,decoy1152,24.210015,0,decoy1152,10.3,0,decoy1152,1611,0,decoy1152,0.051077745058006434,0
decoy1153,6.21,0,decoy1153,30.054942,0,decoy1153,9.9,0,decoy1153,698,0,decoy1153,0.5361424100932768,0
decoy1154,6.95,0,decoy1154,20.155357,0,decoy1154,10.8,0,decoy1154,2239,0,decoy1154,-0.28541428035181965,0
decoy1155,9.45,0,decoy1155,33.134973,0,decoy1155,10.4,0,decoy1155,384,0,decoy1155,0.7917511123599174,0
decoy1156,6.37,0,decoy1156,18.944039,0,decoy1156,10,0,decoy1156,2378,0,decoy1156,-0.385940353632323,0
decoy1157,8.84,0,decoy1157,39.88404,0,decoy1157,9.8,0,decoy1157,89,0,decoy1157,1.3518494546755004,0
decoy1158,7.59,0,decoy1158,33.367112,0,decoy1158,10.3,0,decoy1158,364,0,decoy1158,0.8110160965550358,0
decoy1159,7.73,0,decoy1159,30.09118,0,decoy1159,10.4,0,decoy1159,693,0,decoy1159,0.5391497655883152,0
decoy116,6.63,0,decoy116,30.02717,0,decoy116,11.3,0,decoy116,703,0,decoy116,0.5338376394986468,0
decoy1160,10.37,0,decoy1160,27.697112,0,decoy1160,10.7,0,decoy1160,464,0,decoy1160,0.7160934096612661,0
decoy1161,12.14,0,decoy1161,26.264284,0,decoy1161,10.5,0,decoy1161,144,0,decoy1161,1.3548364488554905,0
decoy1162,12.92,0,decoy1162,25.644105,0,decoy1162,10.9,0,decoy1162,78,0,decoy1162,1.636316432229216,0
decoy1163,6.05,0,decoy1163,21.835484,0,decoy1163,10.9,0,decoy1163,1995,0,decoy1163,-0.14598221550794485,0
decoy1164,7.5,0,decoy1164,29.516607,0,decoy1164,10.2,0,decoy1164,761,0,decoy1164,0.49146652509903094,0
decoy1165,8.38,0,decoy1165,20.440661,0,decoy1165,10.3,0,decoy1165,1691,0,decoy1165,-0.002041419715290134,0
decoy1166,-0.12,0,decoy1166,12.47744,0,decoy1166,9,0,decoy1166,2930,0,decoy1166,-0.9225969582147948,0
decoy1167,7.92,0,decoy1167,13.927432,0,decoy1167,11.5,0,decoy1167,2015,0,decoy1167,-0.16804243555107745,0
decoy1168,9.48,0,decoy1168,21.586567,0,decoy1168,10.6,0,decoy1168,902,0,decoy1168,0.39491753119637435,0
decoy1169,8.59,0,decoy1169,25.797966,0,decoy1169,9,0,decoy1169,1347,0,decoy1169,0.18286021555035348,0
decoy117,11.38,0,decoy117,30.908664,0,decoy117,10.1,0,decoy117,238,0,decoy117,1.080573900952886,0
decoy1170,6.14,0,decoy1170,21.545187,0,decoy1170,9.2,0,decoy1170,2035,0,decoy1170,-0.1700736741464779,0
decoy1171,8.24,0,decoy1171,24.224313,0,decoy1171,10.7,0,decoy1171,1610,0,decoy1171,0.05226432182460666,0
decoy1172,9.41,0,decoy1172,29.731228,0,decoy1172,11,0,decoy1172,736,0,decoy1172,0.5092777079375053,0
decoy1173,9.73,0,decoy1173,23.686982,0,decoy1173,12.3,0,decoy1173,766,0,decoy1173,0.485135474585389,0
decoy1174,7.74,0,decoy1174,27.493755,0,decoy1174,10.6,0,decoy1174,1066,0,decoy1174,0.32359205416108316,0
decoy1175,7.38,0,decoy1175,21.321459,0,decoy1175,10.1,0,decoy1175,2063,0,decoy1175,-0.1886406378363597,0
decoy1176,8.9,0,decoy1176,19.164374,0,decoy1176,11.1,0,decoy1176,1308,0,decoy1176,0.18561190253386026,0
decoy1177,7.64,0,decoy1177,21.156493,0,decoy1177,10.3,0,decoy1177,2089,0,decoy1177,-0.20233100172494345,0
decoy1178,5.53,0,decoy1178,25.149281,0,decoy1178,10.9,0,decoy1178,1461,0,decoy1178,0.1290264940618893,0
decoy1179,6.85,0,decoy1179,27.829165,0,decoy1179,10.7,0,decoy1179,997,0,decoy1179,0.3514273956973384,0
decoy118,8.97,0,decoy118,18.06522,0,decoy118,10,0,decoy118,1258,0,decoy118,0.21087292668278446,0
decoy1180,9.7,0,decoy1180,22.266261,0,decoy1180,10.4,0,decoy1180,781,0,decoy1180,0.47430932137870685,0
decoy1181,8.49,0,decoy1181,14.256416,0,decoy1181,8.8,0,decoy1181,1613,0,decoy1181,0.03765447537587612,0
decoy1182,8.12,0,decoy1182,38.472055,0,decoy1182,10.5,0,decoy1182,121,0,decoy1182,1.23467022710605,0
decoy1183,7.52,0,decoy1183,26.700342,0,decoy1183,9.7,0,decoy1183,1206,0,decoy1183,0.2577475002291642,0
decoy1184,5.16,0,decoy1184,25.062634,0,decoy1184,9.1,0,decoy1184,1478,0,decoy1184,0.12183574590860856,0
decoy1185,8.21,0,decoy1185,28.559598,0,decoy1185,11.2,0,decoy1185,889,0,decoy1185,0.41204530221280183,0
decoy1186,8.32,0,decoy1186,29.913594,0,decoy1186,10.7,0,decoy1186,716,0,decoy1186,0.5244120804803654,0
decoy1187,7.94,0,decoy1187,29.156159,0,decoy1187,10.7,0,decoy1187,816,0,decoy1187,0.4615533049026737,0
decoy1188,7.31,0,decoy1188,25.535453,0,decoy1188,11.2,0,decoy1188,1387,0,decoy1188,0.1610745233744883,0
decoy1189,11.21,0,decoy1189,28.873175,0,decoy1189,10.9,0,decoy1189,263,0,decoy1189,1.0192256994483562,0
decoy119,10.08,0,decoy119,7.516021,0,decoy119,10,0,decoy119,576,0,decoy119,0.6114405953300095,0
decoy1190,6.16,0,decoy1190,18.702029,0,decoy1190,10.2,0,decoy1190,2416,0,decoy1190,-0.4060245222772327,0
decoy1191,5.39,0,decoy1191,32.669269,0,decoy1191,11.7,0,decoy1191,412,0,decoy1191,0.7531028016512317,0
decoy1192,8.71,0,decoy1192,37.250698,0,decoy1192,10.5,0,decoy1192,152,0,decoy1192,1.1333110272232316,0
