Row,WBN_GC_L_0.25,WBN_GC_H_0.25,WBN_GC_L_0.50,WBN_GC_H_0.50,WBN_GC_L_0.75,WBN_GC_H_0.75,WBN_GC_L_1.00,WBN_GC_H_1.00,WBN_EN_L_0.25,WBN_EN_H_0.25,WBN_EN_L_0.50,WBN_EN_H_0.50,WBN_EN_L_0.75,WBN_EN_H_0.75,WBN_EN_L_1.00,WBN_EN_H_1.00,WBN_LP_L_0.25,WBN_LP_H_0.25,WBN_LP_L_0.50,WBN_LP_H_0.50,WBN_LP_L_0.75,WBN_LP_H_0.75,WBN_LP_L_1.00,WBN_LP_H_1.00
5389334,-2.39864,2.48725,-2.52648,2.88635,-2.76236,3.46856,-3.19934,4.16608,-0.789482,1.5203,-1.58841,2.21949,-2.39173,2.97427,-3.19755,3.76702,-0.99201,1.11078,-1.69094,1.9299,-2.44382,2.76772,-3.21875,3.61376
20279,-1.7116,1.49424,-1.99516,2.26986,-2.61974,3.1109,-3.35804,3.98046,-0.673987,1.39414,-1.46753,2.22962,-2.29004,3.11511,-3.12266,4.01421,-0.91814,1.29964,-1.66958,2.10774,-2.48062,2.98643,-3.30837,3.88255
2789307,-2.35488,1.24238,-2.61218,2.0151,-2.99886,2.87265,-3.47671,3.74703,-0.812911,1.29292,-1.65557,2.05001,-2.50976,2.89642,-3.36923,3.76789,-0.973501,0.943517,-1.79969,1.79679,-2.65392,2.67926,-3.51538,3.56675
661658,-2.36132,1.25764,-2.62117,2.05234,-3.01268,2.90578,-3.58519,3.77737,-0.784722,1.36438,-1.57562,2.14983,-2.39608,2.99922,-3.23871,3.87172,-1.03958,1.11807,-1.83642,1.94188,-2.6775,2.79244,-3.52934,3.66366
659940,-2.3984,1.3429,-2.52599,2.21028,-2.76313,3.1354,-3.37726,4.07655,-0.821153,2.33466,-1.66062,2.46615,-2.50768,3.11808,-3.35873,4.0545,-0.929659,1.22977,-1.68306,2.16722,-2.50173,3.11845,-3.34054,4.07382
659822,-1.34037,2.33989,-1.65425,2.77068,-2.21285,3.33928,-2.82174,3.98398,-0.510256,2.42078,-1.12803,2.72657,-1.80102,3.20341,-2.48448,3.86822,-0.849546,0.933389,-1.4904,1.72863,-2.16572,2.53759,-2.85011,3.35036
661452,-2.36132,1.25856,-2.62117,2.05456,-3.01268,2.90932,-3.58519,3.78181,-0.776733,1.36448,-1.56744,2.15015,-2.39583,2.99983,-3.23863,3.87258,-1.03957,1.13323,-1.83642,1.95126,-2.6775,2.79887,-3.52934,3.66817
660939,-2.27145,2.27771,-2.49769,2.74399,-2.9856,3.45547,-3.62538,4.26233,-0.743436,2.40118,-1.56154,2.67221,-2.40146,3.1077,-3.24986,3.87048,-0.906602,1.03549,-1.68064,1.90245,-2.52388,2.78627,-3.37599,3.67495
659661,-1.34037,2.33993,-1.65423,2.77345,-2.21284,3.34321,-2.82172,3.98661,-0.499154,2.42074,-1.12745,2.7264,-1.80067,3.20281,-2.4842,3.86701,-0.849545,0.932686,-1.4906,1.72782,-2.16612,2.53648,-2.85067,3.34891
659623,-2.21795,2.17671,-2.34702,2.30587,-2.61016,3.14669,-3.37659,4.08612,-0.821153,2.33467,-1.66062,2.46637,-2.50767,3.11995,-3.35872,4.05702,-0.929659,1.22874,-1.68304,2.16697,-2.5017,3.11879,-3.3405,4.0748
657698,-2.39879,1.88077,-2.61224,2.5698,-2.99884,3.44084,-3.74503,4.36408,-0.770009,1.47437,-1.59388,2.39118,-2.50092,3.35311,-3.4201,4.32755,-1.02723,1.3266,-1.89224,2.20271,-2.79867,3.15265,-3.71716,4.1214
5790,-1.71074,1.99192,-1.98125,2.66228,-2.6819,3.46537,-3.47527,4.31449,-0.67562,2.33482,-1.50521,2.49323,-2.3743,3.2018,-3.25604,4.09011,-1.01645,1.03443,-1.84987,1.90065,-2.72307,2.79661,-3.6074,3.7019
4993,-1.2544,1.46039,-1.78714,2.03988,-2.50593,2.82702,-3.2932,3.65848,-0.791584,1.31225,-1.59819,2.04867,-2.41337,2.85787,-3.23388,3.69273,-0.905739,1.14684,-1.64121,1.97773,-2.4333,2.82268,-3.24371,3.6743
665867,-1.25105,1.35822,-1.71461,2.04065,-2.43013,2.89486,-3.23339,3.77417,-0.792674,1.32708,-1.60765,2.11071,-2.42934,2.96937,-3.25384,3.85029,-0.608029,1.18712,-1.41835,2.07515,-2.24148,2.97266,-3.06753,3.87247
662880,-1.63475,1.38387,-1.95085,2.12145,-2.63742,2.98463,-3.36985,3.88279,-0.774688,1.53704,-1.56103,2.38757,-2.3519,3.28551,-3.14516,4.19954,-0.840931,1.12389,-1.52615,2.02598,-2.30244,2.95209,-3.09565,3.8827
661494,-2.36132,1.25819,-2.62117,2.05371,-3.01268,2.90804,-3.58519,3.78027,-0.777144,1.36445,-1.56784,2.15009,-2.39584,2.99973,-3.23864,3.87245,-1.03957,1.15362,-1.83642,1.95788,-2.6775,2.80274,-3.52934,3.67068
661241,-2.35488,1.37318,-2.61219,2.18106,-2.99886,3.04304,-3.47748,3.92915,-0.77402,1.45371,-1.56426,2.25465,-2.37366,3.13289,-3.19721,4.03406,-0.917101,1.12013,-1.6603,2.0149,-2.46904,2.92686,-3.29598,3.84417
219770,-2.35488,1.37335,-2.61219,2.18206,-2.99886,3.04511,-3.47542,3.93206,-0.764472,1.45386,-1.55383,2.25504,-2.36556,3.13335,-3.19077,4.03448,-0.917101,1.12791,-1.66018,2.01717,-2.46863,2.92808,-3.29526,3.84482
663229,-2.39866,1.34976,-2.5266,2.03457,-2.76416,2.84442,-3.3247,3.69241,-0.775441,1.48361,-1.56204,2.27223,-2.35405,3.11114,-3.14962,3.96891,-0.899514,1.08193,-1.62057,1.91495,-2.39281,2.77466,-3.18106,3.64576
660029,-2.39847,1.49911,-2.62122,2.07669,-3.0127,2.92056,-3.58513,3.79024,-0.761104,1.36489,-1.56394,2.15134,-2.3951,3.00155,-3.23806,3.87438,-1.03958,1.03098,-1.83643,1.85828,-2.67751,2.72765,-3.52934,3.612
663200,-2.38645,1.40287,-2.52703,2.1162,-2.79562,2.9157,-3.32908,3.75562,-0.781204,1.48228,-1.57793,2.26724,-2.38094,3.10342,-3.18746,3.96016,-0.887035,1.11791,-1.59391,1.95468,-2.36866,2.81955,-3.16667,3.69553
600719,-2.39055,2.34878,-2.51737,2.77373,-2.804,3.33219,-3.57047,4.16557,-0.855772,2.40559,-1.75335,2.6896,-2.66214,3.14806,-3.57528,3.9727,-0.929829,1.11407,-1.79124,2.02985,-2.69309,2.96465,-3.60404,3.905
662624,-2.21789,2.17665,-2.34688,2.29707,-2.57512,2.93398,-3.29557,3.74501,-0.780495,1.48158,-1.57508,2.26114,-2.37508,3.0868,-3.17803,3.92986,-0.892515,1.05215,-1.59539,1.87808,-2.36023,2.72923,-3.15061,3.58986
660040,-2.27557,2.17671,-2.39643,2.30241,-2.76417,2.95274,-3.57835,3.77408,-0.784321,1.36443,-1.58482,2.14583,-2.39998,2.98522,-3.22951,3.84428,-1.039,1.03287,-1.83254,1.84296,-2.66948,2.69186,-3.51722,3.55749
658341,-2.39866,1.28654,-2.52657,1.92587,-2.76299,2.72375,-3.22681,3.54014,-0.781784,1.17298,-1.57341,1.81695,-2.36886,2.60701,-3.16614,3.42762,-0.886444,1.10721,-1.56034,1.91452,-2.30201,2.73638,-3.07502,3.56423
658028,-1.29615,2.31534,-1.97566,2.86934,-2.75009,3.55785,-3.56189,4.3251,-0.768076,2.33461,-1.58669,2.46188,-2.43645,3.04337,-3.29685,3.92559,-1.04096,1.11217,-1.8505,1.92368,-2.70618,2.7706,-3.57253,3.65029
657803,-2.39382,1.41442,-2.51672,2.07199,-2.77475,2.86702,-3.31613,3.69084,-0.784396,1.33179,-1.58539,2.08587,-2.39173,2.89478,-3.20047,3.72211,-0.824741,1.27995,-1.53404,2.02798,-2.31006,2.8456,-3.10607,3.6835
661535,-1.70683,1.34536,-2.18747,2.2084,-2.88922,3.13915,-3.6881,4.09322,-0.819148,1.39437,-1.66568,2.26991,-2.53318,3.21548,-3.41275,4.1805,-0.968823,1.35297,-1.75387,2.27081,-2.61034,3.23407,-3.48825,4.20697
661711,-1.56638,1.49755,-1.97148,2.13139,-2.74399,2.94234,-3.55503,3.78313,-0.772798,1.36494,-1.55211,2.15004,-2.35732,2.99335,-3.20315,3.85521,-1.03709,1.12777,-1.83188,1.92669,-2.67245,2.7431,-3.52409,3.58109
661462,-1.56638,1.49741,-1.97147,2.13009,-2.74399,2.93956,-3.55502,3.77866,-0.764985,1.36481,-1.53079,2.14949,-2.35712,2.99208,-3.20309,3.85305,-1.03709,1.101,-1.83188,1.88608,-2.67245,2.69498,-3.52409,3.53958
657567,-2.41634,1.88607,-2.53837,2.30771,-2.76816,2.8675,-3.20057,3.60112,-0.773918,1.24406,-1.55887,1.89186,-2.34804,2.63685,-3.13929,3.42441,-0.870445,1.06768,-1.53679,1.86361,-2.26178,2.67169,-3.03091,3.48451
478951,-2.29033,1.86954,-2.41398,2.46221,-2.66398,3.14953,-3.08235,3.89352,-0.725142,1.28091,-1.45154,2.00513,-2.17844,2.80406,-2.9056,3.62629,-1.07031,0.971272,-1.72337,1.74947,-2.44595,2.56771,-3.18297,3.39881
662152,-2.39867,1.65375,-2.5267,2.41977,-3.00386,3.3359,-3.8904,4.29389,-0.821316,1.43392,-1.73626,2.34731,-2.67671,3.31918,-3.62632,4.30663,-1.02997,1.20009,-1.89334,2.16606,-2.82642,3.15255,-3.7739,4.14616
659230,-2.38602,1.53815,-2.52602,2.2663,-2.79261,3.09558,-3.25894,3.95615,-0.793499,2.3347,-1.60127,2.46574,-2.4138,2.93436,-3.22847,3.78355,-0.851578,1.09979,-1.58858,1.96117,-2.37653,2.84539,-3.18121,3.73687
275196,-2.38586,2.17747,-2.52551,2.43254,-2.78983,3.21023,-3.24279,4.04841,-0.801741,1.22761,-1.61643,1.94352,-2.435,2.78751,-3.25522,3.65702,-0.831071,1.05783,-1.61323,1.9067,-2.4191,2.77761,-3.23262,3.65526
66377,-1.71083,1.96756,-2.00919,2.53693,-2.7318,3.31326,-3.53992,4.15841,-0.701884,1.42389,-1.52959,2.26569,-2.39646,3.15323,-3.2766,4.0542,-1.0165,1.02977,-1.84974,1.89627,-2.72244,2.7924,-3.60611,3.69767
16574,-2.26563,2.0535,-2.39273,2.64236,-2.69188,3.41434,-3.4876,4.24721,-0.607379,1.4971,-1.42424,2.3344,-2.28497,3.21767,-3.15869,4.11397,-1.09618,0.956583,-1.91398,1.81287,-2.77662,2.70238,-3.65171,3.60166
662613,-1.27627,1.30187,-1.86619,1.97169,-2.56538,2.78965,-3.32249,3.64661,-0.783035,1.48192,-1.57323,2.26607,-2.36972,3.10121,-3.17058,3.95684,-0.886955,1.16314,-1.58937,1.99763,-2.35042,2.86055,-3.1335,3.73342
658947,-2.39868,1.81938,-2.5266,2.39886,-2.89664,3.30472,-3.75073,4.26034,-0.787598,1.51143,-1.6547,2.41041,-2.55369,3.3739,-3.46482,4.35695,-1.0137,1.14251,-1.87203,2.10994,-2.77411,3.09897,-3.68809,4.09467
658786,-2.38527,1.38597,-2.66249,2.19016,-3.09508,3.06817,-3.64736,3.96587,-0.834685,1.21801,-1.68025,2.00837,-2.52942,2.90286,-3.38022,3.81546,-0.722628,1.15406,-1.54169,2.05797,-2.3865,2.9774,-3.23602,3.89949
2835297,-1.50182,1.40944,-1.87051,1.89317,-2.37557,2.52889,-3.08923,3.27221,-0.769515,1.22995,-1.54092,1.84968,-2.31303,2.54953,-3.08548,3.29693,-1.01843,0.886542,-1.62113,1.66652,-2.3332,2.4539,-3.0817,3.24472
661907,-1.61597,1.34796,-2.05655,2.15362,-2.71788,3.01221,-3.44424,3.89428,-0.779179,1.45117,-1.56052,2.24604,-2.34949,3.11862,-3.16133,4.0145,-0.975974,1.16036,-1.66309,2.03156,-2.46075,2.93305,-3.27884,3.84279
5546,-1.33759,1.54374,-1.87752,2.31389,-2.6385,3.16432,-3.46464,4.04374,-0.777356,1.37209,-1.59008,2.20169,-2.44321,3.08879,-3.31391,3.99158,-0.966012,1.12039,-1.78828,1.97313,-2.65368,2.86562,-3.52998,3.77156
660660,-2.24675,1.37667,-2.3941,2.11822,-2.81191,2.98277,-3.63333,3.87704,-0.834012,1.37922,-1.69207,2.18574,-2.55849,3.05199,-3.42872,3.94244,-1.08848,1.15881,-1.89845,2.0455,-2.74205,2.94738,-3.59554,3.85653
658548,-2.39873,1.88061,-2.52677,2.56823,-2.90089,3.43727,-3.74504,4.35833,-0.770009,1.47335,-1.59388,2.38834,-2.50091,3.34823,-3.4201,4.32055,-1.02722,1.32606,-1.89224,2.19936,-2.79867,3.14647,-3.71716,4.11265
662567,-2.4163,1.38256,-2.53844,2.1217,-2.77037,2.98763,-3.37199,3.8875,-0.783402,1.53655,-1.57256,2.38599,-2.36498,3.28303,-3.16028,4.19651,-0.683508,1.14475,-1.46131,2.04612,-2.2576,2.97082,-3.06027,3.90117
660829,-2.31624,2.08944,-2.56857,2.5557,-2.96119,3.2371,-3.46626,4.02318,-0.756197,1.33514,-1.52321,2.1237,-2.29583,2.97345,-3.07169,3.84046,-0.828398,1.08841,-1.50874,1.9474,-2.26319,2.82307,-3.03203,3.70308
660706,-2.31619,1.75441,-2.56656,2.29928,-2.94866,3.01866,-3.42867,3.82002,-0.768477,1.4797,-1.54429,2.26226,-2.32377,3.0954,-3.10533,3.94836,-0.842624,1.11837,-1.52103,1.95911,-2.25574,2.82551,-3.02366,3.7003
5389078,-2.39805,1.41659,-2.52568,2.18827,-2.75864,3.01604,-3.20575,3.86325,-0.809702,1.23618,-1.62801,1.91097,-2.44968,2.74166,-3.27301,3.60002,-0.856928,1.11005,-1.6396,1.92784,-2.45238,2.77257,-3.27114,3.63114
659352,-2.38602,1.53786,-2.52602,2.26448,-2.79261,3.09176,-3.259,3.95051,-0.793492,2.33465,-1.60123,2.46261,-2.41368,2.91626,-3.22826,3.77287,-0.851374,1.10123,-1.58766,1.96174,-2.37603,2.84489,-3.18117,3.73543
659095,-2.32373,1.92482,-2.57244,2.46577,-2.96132,3.20263,-3.46539,4.00587,-0.756198,1.33383,-1.52321,2.12124,-2.29584,2.97046,-3.07171,3.83719,-0.817506,1.0889,-1.50411,1.94876,-2.26157,2.82477,-3.03093,3.70496
661736,-2.1382,1.56759,-2.38618,2.13769,-2.78111,2.88075,-3.30303,3.6856,-0.773419,1.44725,-1.55468,2.18956,-2.33954,2.9908,-3.12644,3.81707,-0.85797,1.13049,-1.54598,1.96819,-2.2832,2.81919,-3.04726,3.67567
3793,-2.40211,1.94818,-2.5224,2.46183,-2.75312,3.18823,-3.40764,4.02114,-0.780741,1.51582,-1.57398,2.36067,-2.37081,3.25266,-3.16915,4.16119,-1.00314,1.31649,-1.55921,2.15321,-2.3239,3.05689,-3.13784,3.97578
662659,-1.5076,1.63885,-1.89248,2.22085,-2.48012,2.9231,-3.23894,3.70017,-0.788001,1.29269,-1.58255,2.0049,-2.38005,2.81064,-3.17919,3.64732,-0.867872,1.09565,-1.5569,1.92488,-2.30206,2.7708,-3.07622,3.6239
659887,-1.72499,1.33429,-1.93099,2.181,-2.61184,3.09291,-3.37953,4.02452,-0.819084,1.32762,-1.65469,2.16493,-2.49748,3.08282,-3.34422,4.02039,-0.929624,1.22379,-1.6824,2.15369,-2.49946,3.09764,-3.33594,4.04589
658667,-1.54467,1.33202,-1.92699,2.17812,-2.61088,3.08906,-3.37893,4.01963,-0.819084,1.32629,-1.65469,2.16218,-2.49747,3.07884,-3.34421,4.01523,-0.929618,1.22343,-1.68238,2.15239,-2.49942,3.09527,-3.33588,4.04242
661985,-1.54556,1.34798,-2.05655,2.15393,-2.7179,3.01291,-3.44425,3.89532,-0.779179,1.45132,-1.56052,2.24635,-2.34943,3.11899,-3.16119,4.01488,-0.975975,1.16507,-1.6631,2.03554,-2.46077,2.93582,-3.27886,3.84496
661007,-1.42937,1.37134,-2.02939,2.17917,-2.72672,3.04279,-3.48597,3.93167,-0.789167,1.45398,-1.59074,2.25648,-2.40438,3.1372,-3.2285,4.04129,-0.917167,1.12387,-1.66151,2.02215,-2.47236,2.93763,-3.30165,3.85848
659987,-2.27556,2.17671,-2.39622,2.30259,-2.76417,2.95358,-3.57835,3.77526,-0.784321,1.36446,-1.58482,2.14598,-2.39998,2.98556,-3.22951,3.84483,-1.039,1.03323,-1.83254,1.84371,-2.66948,2.69296,-3.51722,3.55888
659717,-1.53939,1.3329,-1.92619,2.18156,-2.61057,3.09567,-3.37871,4.0296,-0.819084,1.32799,-1.65469,2.16712,-2.49747,3.08725,-3.34421,4.02713,-0.929629,1.22686,-1.68244,2.15944,-2.49953,3.1058,-3.33601,4.05643
659453,-1.61589,1.34018,-1.93538,2.20674,-2.61044,3.13026,-3.37666,4.06992,-0.821152,2.33464,-1.66062,2.46575,-2.50767,3.11374,-3.35872,4.0487,-0.929654,1.22961,-1.68303,2.16599,-2.50168,3.11591,-3.34048,4.06992
659111,-2.38602,1.53755,-2.52602,2.2622,-2.79261,3.08621,-3.25909,3.9413,-0.79348,1.27322,-1.60116,2.02225,-2.41353,2.87299,-3.22801,3.74989,-0.851358,1.09581,-1.58747,1.95294,-2.3759,2.83376,-3.18115,3.722
658731,-1.55492,1.33166,-1.93118,2.17839,-2.6124,3.09156,-3.38328,4.02503,-0.827823,1.32644,-1.67013,2.16413,-2.51859,3.08367,-3.37038,4.02322,-0.929644,1.22644,-1.68295,2.15984,-2.50151,3.1065,-3.34023,4.05722
2794,-1.69363,1.17854,-2.20223,2.06355,-2.93996,2.9855,-3.7701,3.9215,-0.810962,1.3064,-1.68429,2.15705,-2.57404,3.0829,-3.46991,4.02544,-0.966366,1.14144,-1.80283,2.04475,-2.6873,2.98294,-3.58214,3.93027
6603044,-2.40199,1.441,-2.52409,1.98667,-2.78221,2.8453,-3.4389,3.72787,-0.863743,1.14444,-1.73018,1.84983,-2.59741,2.72599,-3.46499,3.61722,-0.806597,1.01584,-1.67066,1.87419,-2.53743,2.76834,-3.40488,3.66411
3213,-1.40233,1.08841,-1.92506,2.0431,-2.73138,3.01521,-3.61565,3.99242,-0.898484,1.23575,-1.80292,2.09257,-2.70959,3.05102,-3.61732,4.02497,-0.845802,1.27313,-1.6069,2.25075,-2.49273,3.23219,-3.39496,4.21468
661515,-2.21782,2.17664,-2.34676,2.29889,-2.76643,2.95468,-3.5886,3.77821,-0.782238,1.3642,-1.58021,2.1484,-2.40244,2.9938,-3.25064,3.86002,-1.02827,1.09349,-1.80202,1.93334,-2.63078,2.80146,-3.47723,3.67887
657481,-2.26302,1.85998,-2.38332,2.28983,-2.63281,2.95905,-3.27985,3.79511,-0.779665,1.52246,-1.58687,2.28494,-2.4026,3.12022,-3.22196,3.98747,-1.02678,1.11196,-1.63198,1.98839,-2.35187,2.88161,-3.13568,3.78002
661440,-2.35688,1.99705,-2.61498,2.41975,-3.00268,2.98361,-3.47708,3.61873,-0.764496,1.23051,-1.52911,1.88103,-2.29376,2.62717,-3.05844,3.40187,-0.863037,1.10264,-1.52067,1.88691,-2.19294,2.67716,-2.86987,3.47113
662710,-2.39864,1.38284,-2.52648,2.12134,-2.76375,2.9869,-3.37188,3.88644,-0.783402,1.5365,-1.57256,2.38579,-2.36499,3.28262,-3.16033,4.19588,-0.683481,1.14438,-1.4613,2.04543,-2.25765,2.96985,-3.0604,3.89993
659731,-1.4405,1.01061,-1.7257,1.76945,-2.32521,2.5639,-3.11302,3.36899,-0.783436,1.11309,-1.57273,1.72654,-2.36415,2.50829,-3.15656,3.31268,-0.683231,1.11163,-1.40573,1.91058,-2.17328,2.71721,-2.95471,3.52707
658210,-1.4677,2.47348,-1.74453,3.01362,-2.1299,3.62755,-2.57604,4.26841,-0.471801,1.31736,-1.05041,1.90463,-1.67859,2.54396,-2.32567,3.20169,-0.705052,0.808498,-1.31589,1.45629,-1.97052,2.12484,-2.63303,2.79875
2708,-1.6197,1.97995,-1.91076,2.36833,-2.45617,2.87858,-3.17781,3.45755,-0.770765,1.20927,-1.54722,1.7886,-2.32573,2.49097,-3.1052,3.26995,-0.829975,1.08583,-1.45547,1.86462,-2.12082,2.6585,-2.89478,3.45569
658828,-2.39995,1.88299,-2.52771,2.34871,-2.77305,3.0282,-3.26411,3.80561,-0.78601,1.50269,-1.58198,2.24874,-2.38187,3.03662,-3.18376,3.84528,-0.821736,1.09787,-1.51257,1.93678,-2.27723,2.78929,-3.06396,3.64661
657754,-1.79842,2.20517,-2.12958,2.58267,-2.90095,3.44248,-3.74511,4.36369,-0.778309,2.40135,-1.59464,2.67485,-2.50102,3.3614,-3.42016,4.32888,-1.02723,1.32642,-1.89224,2.20122,-2.79867,3.14942,-3.71716,4.11651
625492,-2.41631,1.49427,-2.53836,2.05116,-2.76989,2.76093,-3.22546,3.52804,-0.769222,1.36895,-1.54432,2.11513,-2.32144,2.89999,-3.09957,3.69738,-0.96214,1.07919,-1.6914,1.85776,-2.45355,2.65791,-3.22566,3.46447
457964,-1.15872,1.28089,-1.33323,1.7635,-1.93676,2.38855,-2.59078,3.07198,-0.658399,1.02441,-1.31936,1.51811,-1.9813,2.209,-2.64372,2.92211,-0.806518,0.892969,-1.33798,1.58289,-1.9367,2.29215,-2.58315,3.00695
